activity	growth
Doing aerobics	-0.04612901285669281
Playing baseball	-0.013454358766490218
Playing basketball	-0.0308280720885523
Biking	0.03131506160637914
Playing billiards	-0.11699591261549
Boating	-0.035065124231479484
Bowling	3.940695100772762e-4
Dancing	-0.01089384808961308
Participating in equestrian sports	-0.007788618813337799
Fishing	-0.030244788646699414
Playing football	-0.014784291166594231
Golfing	-0.024524376032560642
Hiking	0.025443712432333395
Playing hockey	0.03660742066226227
Hunting	-0.026165745799000082
Participating in martial arts	-0.08556457916145814
Playing racquet sports	-0.04705484168535157
Rollerblading	0.042244099162190525
Running	0.03614204395666649
Skiing, ice skating, snowboarding	-0.05799167146112458
Playing soccer	0.052494987245276764
Softball	-0.0629124435649651
Using cardiovascular equipment	-0.026026442104702452
Vehicle touring/racing	-0.059752652385718426
Playing volleyball	-0.014709865744894255
Walking	0.020580168333598155
Participating in water sports	-0.0017526880841842569
Weightlifting/strength training	-0.019968966575314526
Working out, unspecified	0.09453772016141829
Doing yoga	0.08798267053805497
Playing sports n.e.c.*	0.01613525414078463
